XY					
	CURVE1 (new-5mmolar-14btmapaq-CV-nitrogen-300mvps.DTA)[BKS]		CURVE2 (new-5mmolar-14btmapaq-CV-nitrogen-300mvps.DTA)[BKS]		
-2.36E-01	-7.37E-05				
-2.37E-01	-7.21E-05				
-2.38E-01	-7.14E-05				
-2.39E-01	-7.21E-05				
-2.40E-01	-7.39E-05				
-2.41E-01	-7.40E-05				
-2.42E-01	-7.31E-05				
-2.43E-01	-7.44E-05				
-2.44E-01	-7.30E-05				
-2.45E-01	-7.53E-05				
-2.46E-01	-7.44E-05				
-2.47E-01	-7.51E-05				
-2.48E-01	-7.64E-05				
-2.49E-01	-7.43E-05				
-2.50E-01	-7.53E-05				
-2.51E-01	-7.71E-05				
-2.52E-01	-7.77E-05				
-2.53E-01	-7.56E-05				
-2.54E-01	-7.75E-05				
-2.55E-01	-7.80E-05				
-2.56E-01	-7.81E-05				
-2.57E-01	-7.82E-05				
-2.58E-01	-7.68E-05				
-2.59E-01	-7.72E-05				
-2.60E-01	-7.72E-05				
-2.61E-01	-7.77E-05				
-2.62E-01	-7.84E-05				
-2.63E-01	-7.93E-05				
-2.64E-01	-7.96E-05				
-2.65E-01	-8.00E-05				
-2.66E-01	-8.05E-05				
-2.67E-01	-7.91E-05				
-2.68E-01	-8.04E-05				
-2.69E-01	-8.09E-05				
-2.70E-01	-8.02E-05				
-2.71E-01	-8.02E-05				
-2.72E-01	-8.36E-05				
-2.73E-01	-8.12E-05				
-2.74E-01	-7.96E-05				
-2.75E-01	-8.07E-05				
-2.76E-01	-8.17E-05				
-2.77E-01	-8.29E-05				
-2.78E-01	-8.21E-05				
-2.79E-01	-8.17E-05				
-2.80E-01	-8.34E-05				
-2.81E-01	-8.61E-05				
-2.82E-01	-8.26E-05				
-2.83E-01	-8.26E-05				
-2.84E-01	-8.39E-05				
-2.85E-01	-8.32E-05				
-2.86E-01	-8.39E-05				
-2.87E-01	-8.39E-05				
-2.88E-01	-8.57E-05				
-2.89E-01	-8.57E-05				
-2.90E-01	-8.46E-05				
-2.91E-01	-8.45E-05				
-2.92E-01	-8.50E-05				
-2.93E-01	-8.74E-05				
-2.94E-01	-8.72E-05				
-2.95E-01	-8.73E-05				
-2.96E-01	-8.76E-05				
-2.97E-01	-8.92E-05				
-2.98E-01	-9.10E-05				
-2.99E-01	-8.84E-05				
-3.00E-01	-9.12E-05				
-3.01E-01	-9.09E-05				
-3.02E-01	-9.17E-05				
-3.03E-01	-9.38E-05				
-3.04E-01	-9.27E-05				
-3.05E-01	-9.41E-05				
-3.06E-01	-9.57E-05				
-3.07E-01	-9.65E-05				
-3.08E-01	-9.60E-05				
-3.09E-01	-9.98E-05				
-3.10E-01	-9.90E-05				
-3.11E-01	-9.91E-05				
-3.12E-01	-1.00E-04				
-3.13E-01	-1.03E-04				
-3.14E-01	-1.03E-04				
-3.15E-01	-1.03E-04				
-3.16E-01	-1.04E-04				
-3.17E-01	-1.06E-04				
-3.18E-01	-1.06E-04				
-3.19E-01	-1.08E-04				
-3.20E-01	-1.10E-04				
-3.21E-01	-1.10E-04				
